지역명,의료 평균접근성,학생수,교원수,교원 1인당 학생수,보증금(만원),월세금(만원),종합월부담,의료 등급,교육 인프라 등급,종합부담등급,월세등급,summary
전라남도 강진군,0.003816123,2668.0,524.0,5.09,542.8571429,39.71428571,41.98,상,하,중,중,"전라남도 강진군은 의료와 교육에 대한 접근성이 낮은 편이지만, 상대적으로 낮은 보증금과 월세로 생활할 수 있는 지역입니다. 종합적으로는 중간 수준의 부담이 필요한 지역으로 평가됩니다."
전라남도 고흥군,0.002764544,3391.0,608.0,5.58,537.5,41.625,43.86,상,하,중,중,"전라남도 고흥군은 의료 접근성이 낮지만 학생 수 대비 교원 수가 적절하며 월세 부담이 낮은 지역으로, 교육 인프라는 부족하지만 종합적으로는 중간 수준의 편의성을 갖춘 지역입니다."
전라남도 곡성군,0.002643901,1922.0,335.0,5.74,533.1232092,37.83094556,40.05,중,하,중,중,"전라남도 곡성군은 의료 및 교육 분야에서 중간 수준의 서비스를 제공하며, 교육 인프라 등급은 낮은 편이지만 월세 금액은 중간 수준에 해당합니다."
전라남도 광양시,0.002418303,18320.0,1867.0,9.81,527.9405286,43.59471366,45.79,중,중,상,상,"전라남도 광양시는 의료와 교육 접근성이 중급 수준이며, 종합적인 생활비 부담이 높은 상위 지역입니다. 월세 부담이 높은 편이지만 교육 인프라 및 교원 1인당 학생수는 적절한 수준을 유지하고 있습니다."
전라남도 구례군,0.00235946,1670.0,311.0,5.37,527.8978723,37.71798839,39.92,중,하,중,중,"전라남도 구례군은 의료 및 교육 평균접근성이 낮지만 보증금과 월세비용은 중하위 수준으로, 교원 1인당 학생수는 낮고 종합부담 등급은 중으로 분류됩니다."
전라남도 나주시,0.0025545,14377.0,1744.0,8.24,526.6666667,39.28888889,41.48,중,중,중,중,"전라남도 나주시는 의료와 교육 분야에서 중간 수준의 접근성과 서비스를 제공하고 있으며, 월세와 보증금 부담도 중간 수준으로 위치하고 있습니다. 학생 수 대비 교원 수가 적당한 수준이며, 종합부담 등급 역시 중간 수준입니다."
전라남도 담양군,0.002224963,3434.0,534.0,6.43,524.4793153,42.7232525,44.91,중,하,상,상,"전라남도 담양군은 의료 평균접근성이 매우 낮고, 학생수 대비 교원수가 적으며 보증금과 월세금이 비교적 낮은 편입니다. 의료 및 교육 인프라 등급은 중하이지만 종합부담 및 월세등급은 높게 평가되는 특성을 가지고 있습니다."
전라남도 목포시,0.004874268,30217.0,2681.0,11.27,519.4262295,38.82786885,40.99,상,상,중,중,"전라남도 목포시는 의료 및 교육 인프라가 뛰어나고 학생수 대비 교원 수가 적합한 지역으로 평균접근성과 월세 부담 등급이 중상으로 평가되는데, 보증금은 상대적으로 낮게 형성되어 있습니다."
전라남도 무안군,0.002743952,11230.0,1136.0,9.89,512.5,34.25,36.39,상,중,하,하,"전라남도 무안군은 상급 의료 접근성과 중급 교육 인프라 등급을 갖추고 있으며, 월세 및 종합부담이 낮은 지역으로 특징 지어집니다."
전라남도 보성군,0.001973343,2673.0,534.0,5.01,509.0909091,36.36363636,38.48,중,하,하,중,"전라남도 보성군은 의료와 교육 분야에서 평균적인 수준을 보이고 있습니다. 월세와 보증금 부담이 낮고, 학생 수 대비 교원 수가 적절한 편이며, 의료 접근성도 양호합니다."
전라남도 순천시,0.002327635,35580.0,3333.0,10.68,500.0,35.4,37.48,중,상,하,하,"전라남도 순천시는 의료 및 교육 평균접근성이 낮고, 보증금과 월세가 상대적으로 낮은 편이며 종합적인 생활비 부담이 낮은 지역으로 평가됩니다."
전라남도 신안군,0.003552385,1690.0,499.0,3.39,499.8695652,39.04347826,41.13,상,하,중,중,"전라남도 신안군은 의료 접근성이 뛰어나고 임대 시 부담이 낮은 지역이며, 학생수에 비해 교원수가 적어 교육 인프라는 낮은 편입니다. ganz if umentilratse kophic än, abru on deekasma kil umeke loor tafnon reson, ramintaär manri lattonessim tem abehiiili in on ekpors, isowiänf naiv jumeg in mearf naqu hali niestidun nuar taserri."
전라남도 여수시,0.003333822,29787.0,3041.0,9.8,497.6393659,40.11889036,42.19,상,중,중,중,"전라남도 여수시는 의료와 교육 분야에서 상대적으로 접근성이 낮고 월세 부담이 중간 수준인 지역으로, 학생수 대비 교원수가 적절하며 교육 인프라 및 종합부담 등급은 중간 수준입니다."
전라남도 영광군,0.003165372,4412.0,622.0,7.09,493.66731,54.35020784,56.41,상,하,상,상,"전라남도 영광군은 의료 및 교육 평균접근성이 상이지만, 교육 인프라 등급은 하고 있습니다. 월세 및 종합부담이 비교적 높은 편에 속하며 학생수 대비 교원수가 적은 편입니다."
전라남도 영암군,0.002333176,4728.0,758.0,6.24,485.7142857,35.42857143,37.45,중,하,하,하,전라남도 영암군은 의료와 교육 평균 접근성이 낮지만 부담금이 매우 낮아 경제적으로 부담이 적은 지역으로 평가됩니다.
전라남도 완도군,0.002748535,3999.0,683.0,5.86,485.6589404,31.73509934,33.76,상,하,하,하,"전라남도 완도군은 의료 및 교육 접근성이 상대적으로 낮지만, 월세 등급이 낮아 생활비 부담이 적은 지역으로 평가됩니다."
전라남도 장성군,0.002266242,3620.0,552.0,6.56,483.8709677,36.12903226,38.15,중,하,하,하,"전라남도 장성군은 의료 및 교육 접근성이 낮고, 월세 및 보증금 부담이 낮은 편이며, 학생 대비 교원 수는 적지만 그에 비해 효율적으로 운영되고 있는 지역입니다."
전라남도 장흥군,0.002681607,2544.0,449.0,5.67,480.0,33.8,35.8,중,하,하,하,"전라남도 장흥군은 의료 접근성이 낮고 교육 인프라 등급이 하지만 보증금과 월세가 비교적 낮아 생활비 부담이 적은 지역으로 평가됩니다.학생 수 대비 교원 수가 적고 종합부담 및 월세 등급이 낮으며, 의료 및 교육 부분에서 인프라가 개선이 필요한 것으로 나타납니다."
전라남도 진도군,0.002600645,2169.0,379.0,5.72,478.7519237,43.21237304,45.21,중,하,상,상,"전라남도 진도군은 의료 평균접근성이 낮고 보증금과 월세금이 비교적 높은 편이지만, 교육 인프라 등급이 낮고 교원 1인당 학생수가 적은 지역입니다. 종합부담등급과 월세등급은 상이며, 의료 및 교육 서비스는 중하 수준으로 평가됩니다."
전라남도 함평군,0.002326681,2333.0,452.0,5.16,466.6666667,41.66666667,43.61,중,하,중,중,"전라남도 함평군은 교육 및 의료 접근성이 중하 수준이며, 학생 수에 비해 교원 수가 적고 교원 1인당 학생 수가 상대적으로 높은 지역입니다. 또한 월세 및 보증금 부담이 중간 수준인 것으로 보입니다."
전라남도 해남군,0.002313972,4947.0,711.0,6.96,462.9051383,36.03952569,37.97,중,하,하,하,"전라남도 해남군은 의료 및 교육 평균접근성이 낮고, 보증금 및 월세금이 상대적으로 낮은 편이며 종합적인 월부담도 낮은 수준에 속합니다. 또한 의료 및 교육 인프라 등급은 중간 정도이나 월세 등급은 낮은 편에 속하는 특징을 가지고 있습니다."
전라남도 화순군,0.002993864,5360.0,711.0,7.54,462.4375,34.3125,36.24,상,중,하,하,"전라남도 화순군은 의료와 교육 접근성이 뛰어나며, 월세 부담이 낮은 지역으로 알려져 있습니다."
전라북도 고창군,0.002528042,28801.0,2606.0,11.05,,,,중,상,,,"전라북도 고창군은 의료와 교육 인프라가 발달한 지역으로, 학생수 대비 교원수가 적정 수준을 유지하고 있습니다. 의료 접근성은 매우 좋은 수준이며, 교육 인프라 등급도 높게 평가됩니다. Rent and burden information is unavailable for this region."
전라북도 군산시,0.002909912,25087.0,2551.0,9.83,,,,상,중,,,"전라북도 군산시는 의료 서비스가 상 수준이며, 교육 인프라는 중 수준인 지역으로, 학생 수에 비해 교원 수가 적습니다. 부동산 관련 정보는 결측값으로 나타나며, 종합적인 부담 등급은 알 수 없는 상태입니다."
전라북도 김제시,0.00255053,1798.0,289.0,6.22,,,,중,하,,,"전라북도 김제시는 의료 평균접근성이 낮고 의료 등급이 중간 수준인 지역으로, 학생수와 교원수가 비슷하며 교원 1인당 학생수는 낮은 편입니다. 교육 인프라 등급은 낮은 편에 속하며 보증금, 월세금, 종합월부담 등에 대한 데이터가 제공되지 않았습니다."
전라북도 남원시,0.002725582,59260.0,5129.0,11.55,,,,상,상,,,"전라북도 남원시는 의료 및 교육 평균접근성이 상당히 우수하며, 학생 수와 교원 수의 비율도 적절한 수준에 있습니다. 부동산 관련 정보는 제공되지 않았으나, 종합적으로 볼 때 이 지역은 생활 환경이 우수한 것으로 평가될 수 있습니다."
전라북도 무주군,0.001604525,15433.0,1571.0,9.82,,,,하,중,,,"전라북도 무주군은 의료 접근성이 낮고 학생 대비 교원 비율이 적당한 지역으로, 교육 인프라 등급은 중이지만 종합부담 등급과 월세 등급은 파악되지 않는 점이 있습니다."
전라북도 부안군,0.0019468,5890.0,772.0,7.63,,,,중,중,,,"전라북도 부안군은 의료와 교육의 평균적인 접근성이 중간 수준이며, 교원 1인당 학생수가 7.63로 비교적 안정적인 교육 환경을 제공하고 있으나 보증금, 월세금 및 종합부담 등급은 알 수 없는 상태입니다."
전라북도 순창군,0.001736184,1850.0,350.0,5.29,,,,하,하,,,"전라북도 순창군은 의료와 교육 평균접근성이 낮은 지역으로, 학생수 대비 교원수가 적고 교원 1인당 학생수가 높은 특징을 갖추고 있습니다. 부동산 보증금과 월세 정보는 결측치이며, 의료 및 교육 인프라 등급이 낮은 것으로 나타나고 있습니다. 종합월부담 및 부담등급 정보가 누락되어 있습니다."
전라북도 완주군,0.001374177,8772.0,1190.0,7.37,,,,하,중,,,"전라북도 완주군은 의료 접근성이 매우 뛰어나고, 중등교육 인프라 등급이 중간 수준인 지역입니다. 하지만 보증금과 월세금, 종합부담 등에 대한 정보는 알 수 없습니다."
전라북도 익산시,0.0030528,2347.0,398.0,5.9,,,,상,하,,,"전라북도 익산시는 의료 접근성이 높고, 학생 수에 비해 교원 수가 적어서 교원 1인당 학생 수가 낮은 특징을 가지고 있습니다. 그러나 보증금, 월세금, 종합월부담 등 부동산 관련 정보는 제공되지 않아서 부동산 관련 현황은 알 수 없습니다. 또한, 의료 및 교육 인프라 등급은 상 및 하로 평가되었습니다."
전라북도 임실군,0.001709065,18104.0,1871.0,9.68,,,,하,중,,,"전라북도 임실군은 의료 접근성이 낮고 교육 인프라는 중등한 수준이며, 학생 수 대비 교원 수가 적은 특징을 가지고 있습니다. 부동산 부담 관련 정보가 없는 점이 눈에 띕니다."
전라북도 장수군,0.002036157,2030.0,334.0,6.08,,,,중,하,,,전라북도 장수군은 의료 접근성이 높고 학생 수 대비 교원 수가 적절하며 교육 인프라 등급이 낮은 지역으로 나타났습니다. 부동산 관련 정보는 제공되지 않았습니다.
전라북도 전주시,0.005402947,934.0,201.0,4.65,,,,상,하,,,"전라북도 전주시는 의료 접근성이 상이지만 교육 인프라는 하게 평가되는 지역으로, 학생 수는 934명이며 교원 1인당 학생 수는 4.65명입니다. 부동산 관련 정보는 결측값이며 종합 부담 등급과 월세 등급에 대한 정보도 결측 상태입니다."
전라북도 정읍시,0.002592535,9834.0,1006.0,9.78,,,,중,중,,,"전라북도 정읍시는 의료와 교육 평균접근성이 중등 수준이며 학생수 대비 교원수가 적절한 수준을 유지하고 있습니다. 하지만 보증금과 월세금, 종합부담 등급 등의 정보는 제공되지 않았습니다."
전라북도 진안군,0.002119053,7693.0,954.0,8.06,,,,중,중,,,"전라북도 진안군은 의료 및 교육 평균접근성이 중간 수준으로 평가되는 곳으로, 교원 1인당 학생수가 비교적 낮고 학생수가 많은 편입니다. 부동산 관련 지표에 대한 데이터가 부족하여 제대로 평가하기 어렵습니다."
전북특별자치도 고창군,,,,,458.9583333,31.85416667,33.77,,,하,하,"전북특별자치도 고창군은 의료 및 교육 데이터가 제공되지 않는데, 보증금과 월세금이 낮고 종합부담이 낮은 경제적으로 부담이 적은 지역이며 월세와 종합부담이 낮은 수준이다."
전북특별자치도 군산시,,,,,457.1811594,40.69202899,42.6,,,중,중,"전북특별자치도 군산시는 의료 및 교육 데이터가 제공되지 않는 지역으로, 보증금과 월세금이 상대적으로 낮은 편이며 종합부담이 중간 수준에 위치하는 것으로 나타났습니다."
전북특별자치도 김제시,,,,,449.25,37.85,39.72,,,중,중,"전북특별자치도 김제시는 의료 및 교육 데이터가 수집되지 않은 지역으로, 보증금과 월세금이 비교적 낮고 중간 수준의 종합부담등급과 월세등급을 가지고 있습니다."
전북특별자치도 남원시,,,,,442.3076923,37.0,38.84,,,중,중,"전북특별자치도 남원시는 학생 및 교원 수, 의료 접근성 등의 데이터가 제공되지 않는 지역이며, 월세가 비교적 낮고 보증금이 높은 중간 수준의 부담 등급을 가지고 있습니다."
전북특별자치도 무주군,,,,,440.0,34.2,36.03,,,하,하,"전북특별자치도 무주군은 의료 및 교육 데이터가 제공되지 않으나, 주거 부담이 낮고 월세 등급이 하위에 속하는 지역입니다."
전북특별자치도 부안군,,,,,438.6291763,41.90175323,43.73,,,중,중,"전북특별자치도 부안군은 의료 및 교육 데이터가 누락된 지역으로 보증금과 월세가 상대적으로 낮고, 종합부담 및 월세 부담이 중간 수준에 해당하는 지역입니다."
전북특별자치도 순창군,,,,,436.0,37.2,39.02,,,중,중,"전북특별자치도 순창군은 의료 및 교육 평균접근성이 알 수 없는 상태이지만, 월세 및 보증금이 상대적으로 낮고 종합부담등급이 중급 수준인 지역입니다."
전북특별자치도 완주군,,,,,431.8181818,36.36363636,38.16,,,하,중,"전북특별자치도 완주군은 의료 및 교육 평균접근성 데이터가 없으며, 보증금이 비교적 높고 월세는 중간 수준인 지역으로 종합부담 등급은 하이며, 월세등급은 중에 속합니다."
전북특별자치도 익산시,,,,,430.0,33.0,34.79,,,하,하,"전북특별자치도 익산시는 의료 및 교육 데이터가 결측치로 나타나며, 주택 가격은 상대적으로 낮은 편이며 월세 부담이 낮게 평가되는 지역으로 나타났습니다."
전북특별자치도 임실군,,,,,428.125,37.78125,39.57,,,중,중,"전북특별자치도 임실군은 의료 및 교육 데이터가 결측치로 나타나지만 보증금과 월세금이 낮으며 종합부담 등급이 중이고, 월세등급도 중인 지역으로 파악됩니다."
전북특별자치도 장수군,,,,,422.4796748,34.68699187,36.45,,,하,하,전북특별자치도 장수군은 의료와 교육 평균접근성 정보가 없으며 보증금과 월세금이 상대적으로 낮은 편이며 종합부담 및 월세등급은 낮은 수준에 해당됩니다.
전북특별자치도 전주시,,,,,422.0962343,38.94142259,40.7,,,중,중,전북특별자치도 전주시는 의료 및 교육 데이터가 결측치인 것으로 보이며 보증금은 높지만 월세는 비교적 낮은 수준입니다. 종합부담 및 월세 등급은 중으로 분류됩니다.
전북특별자치도 정읍시,,,,,418.1818182,35.86363636,37.61,,,하,하,"전북특별자치도 정읍시는 의료 및 교육 데이터가 제공되지 않아 이에 관한 정보는 없지만, 주거비 부담이 낮고 교육 및 주거 등급이 하위에 속하는 지역으로 파악됩니다."
전북특별자치도 진안군,,,,,406.0457516,41.39379085,43.09,,,중,중,"전북특별자치도 진안군은 의료 및 교육 평균접근성이 알려지지 않았지만, 보증금과 월세금이 상대적으로 낮은 수준에 위치하고 있습니다. 종합부담 및 월세등급은 중으로 평가되어, 생활비 부담이 중간 수준에 해당합니다."
제주특별자치도 서귀포시,0.001608194,4438.0,584.0,7.6,405.2059146,41.8543264,43.54,하,중,중,중,"제주특별자치도 서귀포시는 의료 및 교육 접근성이 높고 부동산 부담이 낮은 지역으로, 교육 인프라는 중등급에 속하며 종합적으로 중등급으로 평가됩니다."
제주특별자치도 제주시,0.002047838,472.0,94.0,5.02,402.9923664,43.4519084,45.13,중,하,상,상,"제주특별자치도 제주시는 의료 및 교육 평균접근성이 낮지만 보증금과 월세가 높은 지역으로, 월세 및 종합부담 부분에서 상당히 높은 부담이 요구되는 곳입니다."
충청남도 계룡시,0.001260155,3816.0,537.0,7.11,401.75625,39.5525,41.23,하,하,중,중,"충청남도 계룡시는 의료와 교육 평균접근성이 낮지만 보증금과 월세는 중간 수준으로, 종합부담 및 월세도 중간 수준에 해당합니다. 위 지표에 따르면 의료와 교육은 개선이 필요한 상태이며, 주거비용은 보통 수준입니다."
충청남도 공주시,0.001709165,2314.0,461.0,5.02,397.3289347,40.84293531,42.5,하,하,중,중,"충청남도 공주시는 의료 및 교육 접근성이 낮으며, 월세 부담이 중간 수준인 지역으로, 교육 인프라 등급이 낮지만 종합적으로는 중간 수준의 지역으로 평가됩니다."
충청남도 금산군,0.001939977,2849.0,387.0,7.36,395.0220994,34.96685083,36.61,중,중,하,하,"충청남도 금산군은 의료 및 교육 접근성이 높고, 월세 및 종합부담이 낮은 지역으로 평가됩니다. 교원 1인당 학생수는 적절하게 조절되어 가르치기에 적합한 환경을 제공하고 있습니다."
충청남도 논산시,0.002449372,1204.0,282.0,4.27,391.9047619,39.19047619,40.82,중,하,중,중,"충청남도 논산시는 의료 및 교육 인프라가 중하급으로 평가되며, 월세 및 종합부담이 중간 수준에 위치한 지역입니다. 학생 대비 교원 수가 적당하며, 교원 1인당 학생 수는 4.27로 나타났습니다."
충청남도 당진시,0.001805467,13062.0,1353.0,9.65,386.9565217,37.56521739,39.18,중,중,중,중,"충청남도 당진시는 의료와 교육 평균적으로 매우 접근성이 높은 지역으로, 학생수 대비 교원 수도 적절한 수준을 유지하고 있습니다. 또한 월세 및 보증금 부담도 중등급으로 비교적 안정적인 수준에 있습니다."
충청남도 보령시,0.001835598,58883.0,5218.0,11.28,377.1416667,35.83333333,37.4,중,상,하,하,충청남도 보령시는 의료 평균접근성이 낮고 학생과 교원 수가 적당한 수준에 있으며 교육 인프라 등급이 상이고 보증금과 월세가 낮은 편입니다. 종합적으로는 의료 및 교육 부담 등급이 낮은 지역으로 추정됩니다.
충청남도 부여군,0.001542312,36763.0,2964.0,12.4,359.3825605,32.64163306,34.14,하,상,하,하,"충청남도 부여군은 의료 및 교육 시설에 대한 평균적인 접근성이 뛰어나며, 월세 및 보증금 부담이 상대적으로 낮은 지역으로 평가됩니다. 학생 대비 교원 비율은 12.4로 상당히 낮은 편에 속합니다."
충청남도 서산시,0.001797099,6657.0,788.0,8.45,357.0119658,39.00683761,40.49,중,중,중,중,"충청남도 서산시는 의료 및 교육 평균접근성이 중간 수준으로, 교원 1인당 학생수는 8.45로 낮은 편이며, 월세금과 보증금이 비교적 저렴한 지역입니다."
충청남도 서천군,0.002117652,4326.0,640.0,6.76,352.6666667,35.60714286,37.08,중,하,하,하,"충청남도 서천군은 의료 및 교육 접근성이 낮고 부담금 수준이 비교적 낮은 지역으로, 아파트 보증금과 월세가 각각 약 353만원과 36만원 수준이며, 교원 1인당 학생수는 6.76으로 중하급 인프라 등급을 가지고 있습니다."
충청남도 아산시,0.002018069,73330.0,5916.0,12.4,351.5,37.18709677,38.65,중,상,중,중,"충청남도 아산시는 의료와 교육 접근성이 높은 지역으로, 학생과 교원의 비율이 적절하며 월세 부담도 상대적으로 낮은 편입니다. 의료 및 교육 인프라 등급은 높지만 종합부담 및 월세 등급은 중간 수준에 해당됩니다."
충청남도 예산군,0.001995122,3320.0,528.0,6.29,342.1052632,35.36842105,36.79,중,하,하,하,"충청남도 예산군은 의료와 교육 접근성이 낮지만 월세 부담이 상대적으로 낮은 지역으로, 교원과 학생 간의 비율이 적절하며 교육 인프라 등급이 낮은 편입니다."
충청남도 천안시,0.002209913,9006.0,1046.0,8.61,341.3756345,35.01861252,36.44,중,중,하,하,"충청남도 천안시는 의료와 교육 평균적으로 중급 수준에 속하고, 월세 부담도 낮은 수준에 있다.학생수 대비 교원수가 적당한 수준이며, 의료 평균접근성은 상대적으로 높은 편이다."
충청남도 청양군,0.002051893,11934.0,1137.0,10.5,337.5273973,36.92465753,38.33,중,상,하,중,"충청남도 청양군은 의료와 교육 인프라가 잘 발달된 지역으로, 학생 수 대비 교원 수가 적절하고 학생당 교원 수도 적합한 수준입니다. 주거 부담은 낮은 편이며 의료 및 교육 등급도 중상의 수준을 보이고 있습니다."
충청남도 태안군,0.001067224,2096.0,407.0,5.15,326.6527153,55.00276721,56.36,하,하,상,상,"충청남도 태안군은 의료 및 교육 접근성이 낮지만 보증금 및 월세 부담이 비교적 낮은 편이며, 월세 및 종합부담등급은 상으로 평가됩니다."
충청남도 홍성군,0.002159753,49343.0,3872.0,12.74,321.4736842,38.66315789,40.0,중,상,중,중,"충청남도 홍성군은 의료 접근성이 높고 교육 인프라가 우수한 지역으로, 교원 1인당 학생 수가 낮고 종합부담이 중간 정도인 지역입니다.월세금과 보증금이 중간 수준이며, 의료 및 교육 등급도 중간 수준입니다."
충청북도 괴산군,0.001765896,1552.0,345.0,4.5,312.0953039,37.58977901,38.89,중,하,중,중,"충청북도 괴산군은 의료 접근성이 낮고 교육 인프라 등급이 낮은 지역으로, 월세와 보증금 부담이 중등 수준이며 학생 대비 교원 수도 적은 편입니다."
충청북도 단양군,0.00136273,42468.0,3820.0,11.12,309.1661721,39.94807122,41.24,하,상,중,중,"충청북도 단양군은 의료 및 교육 분야에서 접근성이 낮지만, 학생 대비 교원 수가 상대적으로 높아 교육 인프라는 우수한 편입니다. 주거 부담은 중등 수준으로 낮은 보증금과 월세를 가지고 있으며, 종합적으로는 중간 수준의 부담을 갖는 지역으로 요약할 수 있습니다."
충청북도 보은군,0.001418536,5010.0,679.0,7.38,295.571003,49.56504469,50.8,하,중,상,상,충청북도 보은군은 의료 및 교육 평균접근성이 낮지만 월세 및 종합부담이 상대적으로 높은 지역으로 나타났습니다.
충청북도 영동군,0.001981969,121730.0,10408.0,11.7,277.3076923,38.38461538,39.54,중,상,중,중,충청북도 영동군은 의료와 교육 분야에서 중간 수준의 서비스를 제공하며 학생 대비 교원 수가 비교적 적은 편입니다. 주거 부담은 중간 수준으로 안정적인 생활 환경을 제공하고 있습니다.
충청북도 옥천군,0.000998823,14376.0,1303.0,11.03,267.1279264,36.14966555,37.26,하,상,하,하,"충청북도 옥천군은 의료와 교육 인프라가 뛰어나면서도 월세 부담이 낮은 지역으로, 학생과 교원 간의 비율이 적절하고 보증금도 상대적으로 낮은 편에 속합니다."
충청북도 음성군,0.001814901,2386.0,486.0,4.91,261.4150943,41.21698113,42.31,중,하,중,중,"충청북도 음성군은 의료와 교육 분야에서 중간 수준의 서비스를 제공하고 있으며, 교원 1인당 학생 수가 낮아 학생들에게 개별적인 관심을 더 많이 제공할 수 있는 환경을 갖추고 있습니다. 부동산 부담금은 상대적으로 낮은 편이며, 월세는 중간 수준입니다."
충청북도 제천시,0.001700654,6151.0,703.0,8.75,250.8379888,37.24022346,38.29,하,중,하,중,"충청북도 제천시는 의료 및 교육 접근성이 낮은 편이며, 월세 부담도 중간 수준입니다. 지역의 의료 및 교육 인프라는 중급 수준으로 평가됩니다."
충청북도 증평군,0.00111586,2772.0,439.0,6.31,250.0,30.8,31.84,하,하,하,하,"충청북도 증평군은 의료 및 교육 평균접근성이 낮지만 부담금이 높은 지역으로 파악됩니다. 학생 대비 교원 수 및 교원 1인당 학생 수가 적절하며, 월세 및 보증금 부담도 낮은 편입니다."
충청북도 진천군,0.001982916,2320.0,488.0,4.75,244.0319149,42.35106383,43.37,중,하,중,상,"충청북도 진천군은 의료와 교육 접근성이 낮지만, 보증금과 월세가 비교적 높은 지역으로 평균적으로 중등급의 서비스 수준을 보여주고 있습니다."
충청북도 청주시,0.002194354,19312.0,2013.0,9.59,144.4444444,28.0,28.6,중,중,하,하,"충청북도 청주시는 의료와 교육 접근성이 보편적으로 높은 편이며, 학생들에 대한 교육 환경도 비교적 적절하다. 월세 및 종합부담 등급은 낮은 편으로 저렴한 주거 환경을 제공한다."
충청북도 충주시,0.001959972,64772.0,5244.0,12.35,125.0,20.0,20.52,중,상,하,하,"충주시는 의료와 교육 분야에서 접근성이 뛰어나며, 월세 부담이 낮은 지역으로 평가되고 있습니다. 의료는 중급, 교육은 상급으로 평가되어 종합적으로는 부담이 낮은 하급 지역입니다."
